,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Type
24,Volkswagen Vento,Kolkata,2010,33000,Petrol,Automatic,First,14.4,1598,103.6,5.0,2,Volkswagen
25,Honda City,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497,116.3,5.0,4,Honda
26,Nissan Micra,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461,63.1,5.0,4,Nissan
27,Maruti Alto,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998,67.1,5.0,2,Maruti
28,Honda WRV,Kochi,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5.0,9,Honda
29,Toyota Innova,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,102,7.0,4,Toyota
30,Renault Duster,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461,108.45,5.0,7,Renault
31,Toyota Corolla,Delhi,2012,87615,Petrol,Manual,First,14.53,1798,138.1,5.0,6,Toyota
32,Mahindra Ssangyong,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696,184,7.0,12,Mahindra
33,Audi A6,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5.0,11,Audi
34,Volkswagen Vento,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5.0,6,Volkswagen
35,Maruti Wagon,Jaipur,2009,83816,Petrol,Manual,Second,14.0,1061,64,5.0,1,Maruti
36,Maruti Vitara,Kochi,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5.0,8,Maruti
37,Mahindra KUV,Delhi,2017,52000,Petrol,Manual,First,18.15,1198,82,5.0,4,Mahindra
38,Mercedes-Benz M-Class,Pune,2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5.0,28,Mercedes-Benz
39,Volkswagen Polo,Chennai,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5.0,5,Volkswagen
40,Maruti Alto,Delhi,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5.0,1,Maruti
41,Tata Nano,Kochi,2014,19698,Petrol,Manual,First,25.4,624,37.5,4.0,1,Tata
42,Mahindra KUV,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198,77,6.0,5,Mahindra
43,Hyundai i20,Kochi,2014,35487,Petrol,Manual,First,18.5,1197,82.9,5.0,4,Hyundai
44,Hyundai Elantra,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5.0,8,Hyundai
45,Toyota Corolla,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5.0,10,Toyota
46,Hyundai Elantra,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5.0,4,Hyundai
47,Toyota Innova,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7.0,10,Toyota
48,Hyundai Xcent,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120,71,5.0,3,Hyundai
49,Mahindra Thar,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498,105,6.0,5,Mahindra
50,Audi A4,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5.0,21,Audi
51,Maruti Swift,Delhi,2014,52000,Diesel,Manual,First,22.9,1248,74,5.0,4,Maruti
52,Maruti Swift,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248,75,5.0,3,Maruti
53,Maruti Swift,Delhi,2013,65650,Diesel,Manual,First,28.4,1248,74,5.0,3,Maruti
54,Hyundai Grand,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197,82,5.0,3,Hyundai
55,Volkswagen Vento,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598,103.2,5.0,3,Volkswagen
56,Renault KWID,Kochi,2017,16542,Petrol,Manual,First,25.17,799,53.3,5.0,3,Renault
57,Hyundai i10,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197,78.9,5.0,2,Hyundai
58,Nissan X-Trail,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5.0,7,Nissan
59,Maruti Zen,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998,67.1,5.0,2,Maruti
60,Toyota Innova,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8.0,16,Toyota
61,Ford Figo,Bangalore,2010,72000,Diesel,Manual,First,20.0,1399,68,5.0,2,Ford
62,Mercedes-Benz New,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796,186,5.0,26,Mercedes-Benz
63,Mercedes-Benz New,Pune,2011,65000,Diesel,Manual,Second,15.8,2148,170,5.0,10,Mercedes-Benz
64,Tata Indica,Chennai,2016,178000,Diesel,Manual,First,25.0,1396,69,5.0,2,Tata
65,Audi A4,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968,140,5.0,13,Audi
66,Honda City,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497,78,5.0,1,Honda
67,Mercedes-Benz C-Class,Coimbatore,2019,15369,Diesel,Automatic,First,0.0,1950,194,5.0,35,Mercedes-Benz
68,Maruti Ertiga,Pune,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7.0,8,Maruti
69,Hyundai Creta,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5.0,10,Hyundai
70,Porsche Cayenne,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806,500,5.0,14,Porsche
71,Mahindra XUV500,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179,140,7.0,9,Mahindra
72,Hyundai i10,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5.0,3,Hyundai
73,Nissan Terrano,Kochi,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5.0,6,Nissan
74,Honda Brio,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5.0,6,Honda
75,Audi A6,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5.0,29,Audi
76,Toyota Innova,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998,132,8.0,4,Toyota
77,Toyota Innova,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494,102,7.0,11,Toyota
78,Maruti Swift,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248,74,5.0,3,Maruti
79,Tata Zest,Pune,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5.0,4,Tata
80,Honda Amaze,Kochi,2016,54944,Petrol,Manual,First,18.0,1198,86.7,5.0,4,Honda
81,Ford Figo,Hyderabad,2012,70337,Diesel,Manual,First,20.0,1399,68,5.0,2,Ford
82,Maruti Ritz,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248,73.94,5.0,3,Maruti
83,Honda City,Delhi,2009,52000,Petrol,Manual,First,17.8,1497,117.3,5.0,3,Honda
84,BMW 5,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995,218,5.0,13,BMW
85,Hyundai i10,Pune,2009,95980,Petrol,Manual,First,20.36,1197,78.9,5.0,2,Hyundai
86,Hyundai Grand,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197,82,5.0,5,Hyundai
87,Honda Amaze,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198,86.7,5.0,5,Honda
88,Toyota Fortuner,Delhi,2014,107000,Diesel,Manual,First,13.0,2982,168.5,7.0,16,Toyota
89,Audi A6,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5.0,39,Audi
90,Ford Ecosport,Delhi,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5.0,5,Ford
91,Mahindra XUV500,Delhi,2014,58000,Diesel,Manual,First,15.1,2179,140,7.0,8,Mahindra
92,Honda Amaze,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498,98.6,5.0,3,Honda
93,Volkswagen Polo,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5.0,2,Volkswagen
94,Hyundai Verna,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493,110,5.0,3,Hyundai
95,Maruti Wagon,Bangalore,2016,62000,Petrol,Manual,First,18.9,998,67.1,5.0,4,Maruti
96,Volkswagen Polo,Delhi,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5.0,2,Volkswagen
97,Hyundai i20,Pune,2011,78958,Diesel,Manual,Second,23.0,1396,90,5.0,3,Hyundai
98,Hyundai i20,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197,82.85,5.0,4,Hyundai
99,Datsun GO,Pune,2017,32851,Petrol,Manual,First,19.83,1198,67,7.0,3,Datsun
100,Audi A4,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5.0,9,Audi
101,Hyundai i20,Pune,2009,66000,Petrol,Manual,Second,17.0,1197,80,5.0,2,Hyundai
102,Maruti Omni,Coimbatore,2010,93850,Petrol,Manual,First,14.0,796,35,5.0,2,Maruti
103,Toyota Etios,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5.0,3,Toyota
104,Jaguar XF,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5.0,24,Jaguar
105,Mahindra XUV500,Delhi,2012,65000,Diesel,Manual,Second,16.0,2179,140,7.0,5,Mahindra
106,Hyundai Verna,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5.0,5,Hyundai
107,Toyota Innova,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7.0,19,Toyota
108,Maruti Eeco,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196,73,5.0,3,Maruti
109,Tata Nano,Bangalore,2014,25500,Petrol,Manual,First,25.4,624,37.5,4.0,2,Tata
110,BMW 3,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995,190,5.0,20,BMW
111,Honda Civic,Delhi,2010,71088,Petrol,Manual,First,13.5,1799,130,5.0,3,Honda
112,Toyota Innova,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7.0,11,Toyota
113,Volvo V40,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984,150,5.0,20,Volvo
114,Nissan Micra,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5.0,6,Nissan
115,BMW 5,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497,215,5.0,7,BMW
116,Maruti Vitara,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5.0,7,Maruti
117,Mercedes-Benz B,Pune,2014,53753,Diesel,Automatic,Second,15.0,2143,107.3,5.0,16,Mercedes-Benz
118,Hyundai Verna,Kolkata,2018,10250,Diesel,Manual,First,22.0,1582,126.2,5.0,10,Hyundai
119,Maruti Wagon,Pune,2011,43874,Petrol,Manual,First,18.9,998,67.1,5.0,2,Maruti
120,Tata Nano,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624,37.48,4.0,3,Tata
121,Mahindra Scorpio,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179,120,8.0,7,Mahindra
122,Mercedes-Benz New,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796,178,5.0,9,Mercedes-Benz
123,Maruti Wagon,Pune,2013,89900,CNG,Manual,First,26.6,998,58.16,5.0,3,Maruti
124,Honda CR-V,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354,152,5.0,5,Honda
125,Volkswagen Vento,Pune,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5.0,7,Volkswagen
126,Maruti Ciaz,Kochi,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5.0,7,Maruti
127,Mahindra XUV500,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179,140,7.0,13,Mahindra
128,Maruti Ritz,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197,85.80,5.0,5,Maruti
129,Maruti Alto,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998,67.1,5.0,2,Maruti
130,Mercedes-Benz SLC,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996,362.07,2.0,54,Mercedes-Benz
131,Hyundai Verna,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591,121.3,5.0,11,Hyundai
132,Maruti Alto,Chennai,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5.0,1,Maruti
133,BMW 1,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995,143,5.0,17,BMW
134,Honda Jazz,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199,88.7,5.0,6,Honda
135,Honda Civic,Delhi,2012,88578,Petrol,Manual,First,13.5,1799,130,5.0,3,Honda
136,Mercedes-Benz New,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143,170,5.0,17,Mercedes-Benz
137,Honda Amaze,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5.0,3,Honda
138,Maruti Swift,Kochi,2016,34204,Petrol,Manual,First,22.0,1197,81.80,5.0,5,Maruti
139,Toyota Fortuner,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982,171,7.0,13,Toyota
140,Chevrolet Beat,Pune,2014,38800,Petrol,Manual,First,18.6,1199,76.8,5.0,2,Chevrolet
141,Skoda Rapid,Chennai,2013,83000,Diesel,Manual,First,21.14,1498,103.52,5.0,4,Skoda
142,Maruti Ciaz,Kochi,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5.0,9,Maruti
143,Audi RS5,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894,444,4.0,37,Audi
144,BMW 3,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995,190,5.0,26,BMW
145,Audi A4,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5.0,23,Audi
146,Maruti Swift,Chennai,2016,35000,Diesel,Manual,First,22.9,1248,74,5.0,6,Maruti
147,Mercedes-Benz S,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5.0,30,Mercedes-Benz
148,Skoda Rapid,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5.0,9,Skoda
149,Skoda Superb,Pune,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5.0,8,Skoda
150,Hyundai EON,Kochi,2019,14322,Petrol,Manual,First,21.1,814,55.2,5.0,4,Hyundai
151,Volkswagen Polo,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199,73.9,5.0,3,Volkswagen
152,Datsun GO,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198,67.06,5.0,2,Datsun
153,Honda Brio,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198,86.8,5.0,2,Honda
154,Mercedes-Benz B,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5.0,11,Mercedes-Benz
155,Honda City,Kochi,2015,42831,Diesel,Manual,First,26.0,1498,98.6,5.0,7,Honda
156,Toyota Innova,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494,100.6,7.0,10,Toyota
157,Maruti Swift,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197,81.80,5.0,6,Maruti
158,Mahindra XUV500,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179,140,7.0,7,Mahindra
159,Ford Ecosport,Kochi,2014,147898,Diesel,Manual,First,22.7,1498,89.84,5.0,4,Ford
160,Toyota Fortuner,Mumbai,2012,131765,Diesel,Manual,First,13.0,2982,168.5,7.0,13,Toyota
161,Volkswagen Vento,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5.0,6,Volkswagen
162,Ford Figo,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399,68,5.0,2,Ford
163,BMW X5,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993,258,5.0,45,BMW
164,Mercedes-Benz New,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5.0,33,Mercedes-Benz
165,Honda Brio,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5.0,3,Honda
166,Hyundai i10,Delhi,2013,60000,Petrol,Manual,First,20.36,1197,78.9,5.0,2,Hyundai
167,Mercedes-Benz GLC,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143,170,5.0,42,Mercedes-Benz
168,Hyundai Grand,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5.0,6,Hyundai
169,Audi A6,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5.0,19,Audi
170,Volkswagen Vento,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5.0,4,Volkswagen
171,Mini Countryman,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998,112,5.0,23,Mini
172,Hyundai i20,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396,88.73,5.0,8,Hyundai
173,Audi A6,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5.0,22,Audi
174,Chevrolet Beat,Jaipur,2012,88000,Diesel,Manual,First,25.44,936,57.6,5.0,1,Chevrolet
175,Skoda Superb,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5.0,6,Skoda
176,Ford Fiesta,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399,68,5.0,1,Ford
177,BMW 5,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995,190,5.0,33,BMW
178,Chevrolet Optra,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598,102.5,5.0,1,Chevrolet
179,Volkswagen Polo,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199,73.9,5.0,4,Volkswagen
180,Renault Lodgy,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461,108.5,8.0,6,Renault
181,Mercedes-Benz E-Class,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143,201.1,5.0,32,Mercedes-Benz
182,Maruti Baleno,Kochi,2017,24773,Petrol,Manual,First,21.4,1197,83.1,5.0,7,Maruti
183,Hyundai Verna,Delhi,2012,62000,Diesel,Manual,First,22.32,1582,126.32,5.0,4,Hyundai
184,Hyundai i10,Kochi,2017,52340,Petrol,Manual,First,19.81,1086,68.05,5.0,4,Hyundai
185,Mahindra Scorpio,Kochi,2016,56739,Diesel,Manual,First,15.4,1997,120,7.0,10,Mahindra
186,Land Rover,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5.0,55,Land
187,Ford Figo,Chennai,2010,120000,Diesel,Manual,First,20.0,1399,68,5.0,2,Ford
188,Maruti Ertiga,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248,88.50,7.0,8,Maruti
189,Honda Amaze,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498,98.6,5.0,3,Honda
190,Hyundai i10,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197,78.9,5.0,3,Hyundai
191,Honda Amaze,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498,98.6,5.0,3,Honda
192,Skoda Laura,Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896,106,5.0,4,Skoda
193,Renault Duster,Delhi,2014,90000,Diesel,Manual,First,19.87,1461,83.8,5.0,5,Renault
194,Mahindra NuvoSport,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493,100,7.0,6,Mahindra
195,Maruti Vitara,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248,88.5,5.0,9,Maruti
196,Hyundai i20,Kochi,2016,61012,Petrol,Manual,First,18.6,1197,81.83,5.0,6,Hyundai
197,Skoda Fabia,Jaipur,2009,87459,Petrol,Manual,First,14.7,1390,85,5.0,2,Skoda
198,Tata Indigo,Pune,2010,70500,Petrol,Manual,First,15.64,1193,64.1,5.0,1,Tata
199,Audi Q3,Delhi,2015,64103,Diesel,Automatic,First,15.73,1968,174.33,5.0,19,Audi
200,Skoda Octavia,Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798,177.5,5.0,10,Skoda
201,Toyota Etios,Delhi,2014,104000,Diesel,Manual,First,23.59,1364,67.06,5.0,3,Toyota
202,Mercedes-Benz B,Kochi,2014,37245,Petrol,Automatic,First,14.8,1595,120.7,5.0,11,Mercedes-Benz
203,Honda Amaze,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498,98.6,5.0,3,Honda
204,Hyundai Verna,Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582,126.32,5.0,4,Hyundai
205,Renault Duster,Mumbai,2014,30000,Diesel,Manual,First,20.46,1461,83.8,5.0,5,Renault
206,Hyundai Creta,Delhi,2015,27057,Petrol,Manual,Second,15.29,1591,121.3,5.0,8,Hyundai
207,Maruti Wagon,Mumbai,2016,8500,Petrol,Automatic,First,20.51,998,67,5.0,4,Maruti
208,Mercedes-Benz New,Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796,186,5.0,10,Mercedes-Benz
209,Audi A8,Delhi,2012,56000,Diesel,Automatic,First,11.8,2967,246.7,5.0,45,Audi
210,Hyundai i10,Pune,2012,44000,Petrol,Manual,Second,19.81,1086,68.05,5.0,2,Hyundai
211,Skoda Rapid,Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598,103.52,5.0,8,Skoda
212,Skoda Superb,Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798,177.46,5.0,26,Skoda
213,Hyundai i20,Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197,81.86,5.0,8,Hyundai
214,Honda Amaze,Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498,98.6,5.0,3,Honda
215,Maruti Wagon,Chennai,2004,61000,Petrol,Manual,Second,18.9,998,67.1,5.0,1,Maruti
216,Mahindra Verito,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461,65,5.0,3,Mahindra
217,Mercedes-Benz New,Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143,167.62,5.0,39,Mercedes-Benz
218,Maruti Wagon,Kolkata,2013,32000,Petrol,Manual,First,22.5,998,67.04,5.0,2,Maruti
219,Nissan Terrano,Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461,108.5,5.0,8,Nissan
220,Mini Cooper,Kochi,2017,26327,Petrol,Automatic,First,16.82,1998,189.08,4.0,35,Mini
221,Tata Indica,Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396,53.5,5.0,0,Tata
222,Chevrolet Beat,Kochi,2016,60813,Petrol,Manual,Second,18.6,1199,76.8,5.0,3,Chevrolet
223,Volkswagen Polo,Mumbai,2012,45000,Diesel,Manual,First,22.07,1199,73.9,5.0,3,Volkswagen
224,Maruti Swift,Hyderabad,2016,64000,Diesel,Manual,First,22.9,1248,74,5.0,6,Maruti
225,Ford Figo,Kolkata,2012,41284,Diesel,Manual,First,20.0,1399,68.05,5.0,2,Ford
226,Toyota Innova,Kochi,2019,14165,Diesel,Automatic,First,11.36,2755,171.5,7.0,19,Toyota
227,Hyundai Santa,Mumbai,2011,67000,Diesel,Automatic,Second,11.72,2199,194.3,7.0,7,Hyundai
228,Honda City,Kolkata,2011,32572,Petrol,Manual,First,17.4,1497,117.3,5.0,3,Honda
229,Hyundai i20,Kochi,2018,14960,Petrol,Manual,First,18.6,1197,81.83,5.0,6,Hyundai
230,Mercedes-Benz New,Kochi,2015,55980,Diesel,Automatic,First,19.27,2143,167.62,5.0,18,Mercedes-Benz
231,Chevrolet Beat,Mumbai,2013,74000,Diesel,Manual,First,25.44,936,57.6,5.0,2,Chevrolet
232,Hyundai i20,Kochi,2015,56847,Diesel,Manual,First,22.54,1396,88.73,5.0,7,Hyundai
233,Toyota Innova,Coimbatore,2015,121374,Diesel,Manual,First,12.99,2494,100.6,7.0,14,Toyota
234,Maruti Ertiga,Chennai,2013,52000,Diesel,Manual,First,20.77,1248,88.76,7.0,6,Maruti
235,Toyota Innova,Mumbai,2014,118000,Diesel,Manual,First,12.8,2494,102,7.0,10,Toyota
236,Honda City,Kochi,2016,33915,Petrol,Manual,First,17.8,1497,117.3,5.0,8,Honda
237,BMW X1,Ahmedabad,2014,82002,Diesel,Automatic,First,17.05,1995,184,5.0,18,BMW
238,Hyundai Grand,Mumbai,2017,33000,Diesel,Manual,First,24.0,1120,70,5.0,4,Hyundai
239,Maruti Ciaz,Chennai,2016,34000,Diesel,Manual,First,28.09,1248,88.5,5.0,8,Maruti
240,Skoda Rapid,Kolkata,2012,55000,Diesel,Manual,First,20.5,1598,103.6,5.0,3,Skoda
241,Hyundai Accent,Kochi,2006,160538,Diesel,Manual,First,13.1,1493,82,5.0,1,Hyundai
242,Volkswagen Polo,Jaipur,2014,60000,Diesel,Manual,Second,19.91,1498,103.6,5.0,3,Volkswagen
243,Honda Jazz,Coimbatore,2017,49575,Petrol,Manual,First,18.7,1199,88.7,5.0,7,Honda
244,Hyundai i10,Jaipur,2010,83000,Petrol,Manual,First,19.81,1086,68.05,5.0,1,Hyundai
245,Hyundai Tucson,Kochi,2018,51346,Diesel,Automatic,First,16.38,1995,183,5.0,21,Hyundai
246,Toyota Innova,Pune,2017,43000,Diesel,Manual,First,13.68,2393,147.8,7.0,18,Toyota
247,Maruti Omni,Jaipur,2011,35000,Petrol,Manual,Third,19.7,796,35,5.0,1,Maruti
248,Maruti Swift,Coimbatore,2017,27872,Petrol,Manual,Second,20.4,1197,81.80,5.0,5,Maruti
249,Hyundai Grand,Mumbai,2014,16514,Petrol,Manual,First,18.9,1197,82,5.0,3,Hyundai
